"","pid","gendermale","dispatch.Dispatch","qg10Yes","qn4003Yes","qea0同居","qea0在婚","qea0未婚","qea0离婚","qp605.公费治疗","qp605.城镇居民","qp605.城镇治疗","qp605.新型农村","qp605.补充医疗","qu201Yes","qu202Yes","kwa2_b_1不喜欢学校","kwa2_b_1学业成绩","kwa2_b_1经济困难","kwa2_b_1身体健康","qn203Yes","qn4001Yes","age","qg12","qg1001","qg901","qg702","qg401","qg406","qg15","qn10025","qn6011","qn6014","qn6018","qu802","qu702","w01","qn201_b_1","qn202"
"56","120056103",1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,-0.858581647069942,0.0716929147777928,-0.444005867936677,-0.284209309524213,-0.615032711151633,0.649292608072888,0.391385225604079,-0.379564562524518,-2.02942498057848,-0.0438008783810463,0.981159605525227,0.130529013449506,0.800369525947352,-0.838369465383228,1.254733436645,-0.0600933018152066,0.962009631165578
"57","120056551",0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,-0.858581647069942,0.963521571296016,1.80076881346591,2.79298820715854,0.635957045926592,1.68314693845613,0.391385225604079,2.00296855140412,0.919902463004866,-0.455269722215749,-0.428701792797434,-0.288382777574434,0.800369525947352,-0.838369465383228,1.254733436645,0.701273139616167,-0.132425601641827
"58","120058102",1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.63172782987757,-0.138149122050024,-0.531464621757558,-0.827244165409405,-0.450428795746603,0.649292608072888,0.391385225604079,-0.379564562524518,-0.344095012816569,-0.455269722215749,1.45111340496611,1.38726438652133,-0.000388340381342474,1.42682097482671,-0.866551351298694,1.84332280176323,0.962009631165578
"59","120063101",1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0.0860184993584251,1.4356661541586,2.55874467991354,1.88793011401656,-0.0224586156935262,0.649292608072888,0.391385225604079,2.00296855140412,0.498569971064387,1.19060565312306,0.0412520066434532,0.130529013449506,-0.000388340381342474,-0.460837725348238,1.254733436645,-0.440776522530893,0.232386142627308
"60","120063102",0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0.257763980527219,1.38320564495165,2.55874467991354,1.88793011401656,0.635957045926592,1.68314693845613,0.391385225604079,2.00296855140412,0.0772374791239092,-0.866738566050452,0.51120580608434,-1.12620635962231,-0.000388340381342474,-0.460837725348238,1.254733436645,-0.82145974324658,0.962009631165578
"61","120071101",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.51538220228041,-0.321760904274364,-1.1116076887694,0.104965670526842,0.109224516630498,-0.384561722310352,0.391385225604079,-0.379564562524518,0.0772374791239092,1.19060565312306,1.45111340496611,1.38726438652133,-0.000388340381342474,-0.0833059853132493,-0.159456421984128,-0.82145974324658,0.962009631165578
"62","120078104",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,-0.085726981810369,-0.295530649670887,-0.822993801160491,-0.30593070375962,-0.351666446503585,0.649292608072888,0.391385225604079,-0.379564562524518,-1.18675999669753,1.19060565312306,0.51120580608434,0.549440804473446,0.800369525947352,1.42682097482671,-0.866551351298694,-0.82145974324658,0.962009631165578
"63","120080103",0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,-0.515090684732354,0.932045265771844,6.17370650450992,0.077813927732582,-0.0224586156935262,0.649292608072888,0.391385225604079,-0.379564562524518,0.0772374791239092,-0.0438008783810463,-0.428701792797434,-0.707294568598374,0.800369525947352,-0.838369465383228,1.254733436645,-0.440776522530893,0.962009631165578
"64","120089102",1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2.14696427338395,0.333995460812564,1.80076881346591,0.258825546360979,0.109224516630498,1.68314693845613,0.391385225604079,-0.379564562524518,0.498569971064387,1.19060565312306,0.51120580608434,-0.707294568598374,-0.801146206710037,1.42682097482671,-0.159456421984128,-0.82145974324658,0.962009631165578
"65","120094103",0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,-1.11619986882313,-0.295530649670887,-0.239935442354624,-0.193703500210014,-0.351666446503585,0.649292608072888,-2.07284785896267,-0.379564562524518,-0.765427504757047,-0.866738566050452,-0.428701792797434,-0.288382777574434,-0.000388340381342474,-0.838369465383228,-0.159456421984128,-0.82145974324658,-1.22686083444923
