"","X","pid","age","gendermale","dispatch.Dispatch","qg12","qg10Yes","qg1001","qg901","qg702","qn4003Yes","qg401","qg406","qg15","qn10025","qn6011","qn6014","qn6018","qea0同居","qea0在婚","qea0未婚","qea0离婚","qp605.公费治疗","qp605.城镇居民","qp605.城镇治疗","qp605.新型农村","qp605.补充医疗","qu201Yes","qu202Yes","qu802","qu702","w01","kwa2_b_1不喜欢学校","kwa2_b_1学业成绩","kwa2_b_1经济困难","kwa2_b_1身体健康","qn203Yes","qn4001Yes","qn201_b_1","qn202"
"57","57","120056551",-9.99830261881668,0,0,35454.3545454545,"1",522.593788819876,1463.69910057236,372.034440344403,"1","5","4","1","7","6","6",-0.287472302259585,"0","1","0","0","0","0","1","0","0","1","1","5","1","7","0","0","0","0","0","0",1.84094220495386,-0.49129213483146
"58","58","120058102",19.0016973811833,1,1,-6545.64545454545,"0",-277.406211180124,-536.300899427637,-1427.9655596556,"0","4","4","0","4","6","10",1.38727780991276,"0","1","0","0","0","0","1","0","0","0","0","4","7","1","0","0","1","0","0","0",4.84094220495386,2.50870786516854
"59","59","120063101",1.00169738118332,1,0,53454.3545454545,"1",782.593788819876,963.699100572363,-627.965559655597,"1","4","4","1","6","10","7",0.1312152257835,"0","1","0","0","0","0","1","0","0","1","1","4","2","7","0","0","0","0","0","0",-1.15905779504614,0.50870786516854
"60","60","120063102",3.00169738118332,0,0,51454.3545454545,"1",782.593788819876,963.699100572363,372.034440344403,"0","5","4","1","5","5","8",-1.12484735834576,"0","1","0","0","0","0","1","0","0","1","1","4","2","7","0","0","0","0","0","0",-2.15905779504614,2.50870786516854
"61","61","120071101",6.00169738118332,0,0,-13545.6454545455,"1",-476.406211180124,-21.300899427637,-627.965559655597,"0","3","4","0","5","10","10",1.38727780991276,"0","1","0","0","0","0","1","0","0","0","0","4","7","5","0","0","0","0","0","0",-2.15905779504614,2.50870786516854
"62","62","120078104",-0.99830261881668,0,0,-12545.6454545455,"0",-309.406211180124,-345.300899427637,-1127.9655596556,"0","4","4","0","2","10","8",0.549902753826586,"0","1","0","0","0","0","0","1","0","1","0","5","7","4","1","0","0","0","0","0",-2.15905779504614,2.50870786516854
"63","63","120080103",-5.99830261881668,0,0,34254.3545454545,"1",2022.59378881988,-86.300899427637,-1327.9655596556,"0","4","4","0","5","7","6",-0.70615983030267,"0","0","1","0","0","0","1","0","0","1","1","5","1","7","0","0","0","0","0","0",-1.15905779504614,2.50870786516854
"64","64","120089102",25.0016973811833,1,0,11454.3545454545,"0",122.593788819876,-336.300899427637,-1127.9655596556,"0","5","4","0","6","10","8",-0.70615983030267,"0","1","0","0","0","0","0","1","0","0","1","3","7","5","0","0","0","0","0","0",-2.15905779504614,2.50870786516854
"65","65","120094103",-12.9983026188167,0,1,-12545.6454545455,"0",-277.406211180124,-186.300899427637,-1127.9655596556,"0","4","2","0","3","5","6",-0.287472302259585,"0","1","0","0","0","0","1","0","0","1","0","4","1","5","0","0","0","0","0","0",-2.15905779504614,-3.49129213483146
"66","66","120095101",3.00169738118332,1,0,1454.35454545455,"0",-235.406211180124,-136.300899427637,-927.965559655597,"0","4","4","1","10","10","8",-0.287472302259585,"0","0","0","1","0","0","1","0","0","1","0","1","7","5","0","0","0","0","0","0",-2.15905779504614,2.50870786516854
"67","67","120097101",-6.99830261881668,1,0,23454.3545454545,"1",372.593788819876,413.699100572363,-627.965559655597,"0","3","4","0","4","8","8",-0.287472302259585,"0","1","0","0","0","0","1","0","0","1","1","4","1","6","0","0","0","0","0","0",-1.15905779504614,-1.49129213483146
"68","68","120100102",17.0016973811833,0,0,-24545.6454545455,"0",-327.406211180124,-286.300899427637,-627.965559655597,"0","3","4","0","8","5","7",0.1312152257835,"0","1","0","0","0","0","0","1","0","0","0","3","4","4","0","0","0","0","0","0",-0.159057795046139,-2.49129213483146
"69","69","120100104",-8.99830261881668,0,1,-35745.6454545455,"1",-257.406211180124,63.699100572363,-627.965559655597,"0","4","4","0","3","1","6",-1.96222241443193,"0","1","0","0","0","0","1","0","0","1","0","3","1","6","0","0","0","0","0","0",0.840942204953861,-0.49129213483146
